driver,stop,value,condition,compound,lap,race_assignment,race,year
MAG,1,C3n (31),new,C3,31,medium,Styrian Grand Prix,2020
GRO,1,C3n (37),new,C3,37,medium,Styrian Grand Prix,2020
GIO,1,C4n (39),new,C4,39,soft,Styrian Grand Prix,2020
GAS,1,C2n (24),new,C2,24,hard,Styrian Grand Prix,2020
RUS,1,C3n (34),new,C3,34,medium,Styrian Grand Prix,2020
LAT,1,C4n (32),new,C4,32,soft,Styrian Grand Prix,2020
LEC,1,C2n (1),new,C2,1,hard,Styrian Grand Prix,2020
VER,2,C4n (68),new,C4,68,soft,Styrian Grand Prix,2020
SAI,2,C4n (66),new,C4,66,soft,Styrian Grand Prix,2020
GAS,2,C4n (49),new,C4,49,soft,Styrian Grand Prix,2020
HAM,0,In,new,I,0,,Hungarian Grand Prix,2020
VER,0,In,new,I,0,,Hungarian Grand Prix,2020
BOT,0,In,new,I,0,,Hungarian Grand Prix,2020
STR,0,In,new,I,0,,Hungarian Grand Prix,2020
ALB,0,In,new,I,0,,Hungarian Grand Prix,2020
VET,0,In,new,I,0,,Hungarian Grand Prix,2020
PER,0,In,new,I,0,,Hungarian Grand Prix,2020
RIC,0,In,new,I,0,,Hungarian Grand Prix,2020
MAG,0,C3n,new,C3,0,medium,Hungarian Grand Prix,2020
SAI,0,In,new,I,0,,Hungarian Grand Prix,2020
LEC,0,In,new,I,0,,Hungarian Grand Prix,2020
KVY,0,In,new,I,0,,Hungarian Grand Prix,2020
NOR,0,In,new,I,0,,Hungarian Grand Prix,2020
OCO,0,In,new,I,0,,Hungarian Grand Prix,2020
GRO,0,C3n,new,C3,0,medium,Hungarian Grand Prix,2020
RAI,0,In,new,I,0,,Hungarian Grand Prix,2020
GIO,0,In,new,I,0,,Hungarian Grand Prix,2020
RUS,0,In,new,I,0,,Hungarian Grand Prix,2020
LAT,0,In,new,I,0,,Hungarian Grand Prix,2020
GAS,0,In,new,I,0,,Hungarian Grand Prix,2020
HAM,1,C3n (3),new,C3,3,medium,Hungarian Grand Prix,2020
VER,1,C3n (4),new,C3,4,medium,Hungarian Grand Prix,2020
BOT,1,C3n (2),new,C3,2,medium,Hungarian Grand Prix,2020
STR,1,C3u (3),used,C3,3,medium,Hungarian Grand Prix,2020
ALB,1,C3n (3),new,C3,3,medium,Hungarian Grand Prix,2020
VET,1,C3n (3),new,C3,3,medium,Hungarian Grand Prix,2020
PER,1,C3u (3),used,C3,3,medium,Hungarian Grand Prix,2020
RIC,1,C3u (4),used,C3,4,medium,Hungarian Grand Prix,2020
MAG,1,C2n (35),new,C2,35,hard,Hungarian Grand Prix,2020
SAI,1,C3n (3),new,C3,3,medium,Hungarian Grand Prix,2020
LEC,1,C4u (2),used,C4,2,soft,Hungarian Grand Prix,2020
KVY,1,C4n (1),new,C4,1,soft,Hungarian Grand Prix,2020
NOR,1,C3n (4),new,C3,4,medium,Hungarian Grand Prix,2020
OCO,1,C3n (4),new,C3,4,medium,Hungarian Grand Prix,2020
GRO,1,C2n (34),new,C2,34,hard,Hungarian Grand Prix,2020
RAI,1,C3n (3),new,C3,3,medium,Hungarian Grand Prix,2020
GIO,1,C4n (4),new,C4,4,soft,Hungarian Grand Prix,2020
RUS,1,C4n (4),new,C4,4,soft,Hungarian Grand Prix,2020
LAT,1,C4n (3),new,C4,3,soft,Hungarian Grand Prix,2020
GAS,1,C4n (3),new,C4,3,soft,Hungarian Grand Prix,2020
HAM,2,C3u (37),used,C3,37,medium,Hungarian Grand Prix,2020
VER,2,C2n (36),new,C2,36,hard,Hungarian Grand Prix,2020
BOT,2,C3u (33),used,C3,33,medium,Hungarian Grand Prix,2020
STR,2,C3u (35),used,C3,35,medium,Hungarian Grand Prix,2020
ALB,2,C2n (34),new,C2,34,hard,Hungarian Grand Prix,2020
VET,2,C2n (29),new,C2,29,hard,Hungarian Grand Prix,2020
PER,2,C2n (35),new,C2,35,hard,Hungarian Grand Prix,2020
RIC,2,C3n (43),new,C3,43,medium,Hungarian Grand Prix,2020
SAI,2,C2n (40),new,C2,40,hard,Hungarian Grand Prix,2020
LEC,2,C2n (20),new,C2,20,hard,Hungarian Grand Prix,2020
KVY,2,C2n (18),new,C2,18,hard,Hungarian Grand Prix,2020
NOR,2,C2n (35),new,C2,35,hard,Hungarian Grand Prix,2020
OCO,2,C2n (31),new,C2,31,hard,Hungarian Grand Prix,2020
RAI,2,C2n (33),new,C2,33,hard,Hungarian Grand Prix,2020
GIO,2,C3n (20),new,C3,20,medium,Hungarian Grand Prix,2020
RUS,2,C3n (19),new,C3,19,medium,Hungarian Grand Prix,2020
LAT,2,C3n (4),new,C3,4,medium,Hungarian Grand Prix,2020
HAM,3,C4u (66),used,C4,66,soft,Hungarian Grand Prix,2020
BOT,3,C2n (49),new,C2,49,hard,Hungarian Grand Prix,2020
STR,3,C2n (52),new,C2,52,hard,Hungarian Grand Prix,2020
GIO,3,C2n (40),new,C2,40,hard,Hungarian Grand Prix,2020
RUS,3,C3u (50),used,C3,50,medium,Hungarian Grand Prix,2020
LAT,3,C3u (31),used,C3,31,medium,Hungarian Grand Prix,2020
LAT,4,C4u (39),used,C4,39,soft,Hungarian Grand Prix,2020
LAT,5,C2n (52),new,C2,52,hard,Hungarian Grand Prix,2020
HAM,0,C2u,used,C2,0,medium,British Grand Prix,2020
VER,0,C2u,used,C2,0,medium,British Grand Prix,2020
LEC,0,C2u,used,C2,0,medium,British Grand Prix,2020
RIC,0,C3u,used,C3,0,soft,British Grand Prix,2020
NOR,0,C3u,used,C3,0,soft,British Grand Prix,2020
OCO,0,C3u,used,C3,0,soft,British Grand Prix,2020
GAS,0,C2n,new,C2,0,medium,British Grand Prix,2020
ALB,0,C2n,new,C2,0,medium,British Grand Prix,2020
STR,0,C2u,used,C2,0,medium,British Grand Prix,2020
VET,0,C3u,used,C3,0,soft,British Grand Prix,2020
BOT,0,C2u,used,C2,0,medium,British Grand Prix,2020
RUS,0,C2n,new,C2,0,medium,British Grand Prix,2020
SAI,0,C3u,used,C3,0,soft,British Grand Prix,2020
GIO,0,C2n,new,C2,0,medium,British Grand Prix,2020
LAT,0,C2n,new,C2,0,medium,British Grand Prix,2020
GRO,0,C2n,new,C2,0,medium,British Grand Prix,2020
RAI,0,C2n,new,C2,0,medium,British Grand Prix,2020
KVY,0,C2n,new,C2,0,medium,British Grand Prix,2020
MAG,0,C2n,new,C2,0,medium,British Grand Prix,2020
HUL,0,C1n,new,C1,0,hard,British Grand Prix,2020
HAM,1,C1n (13),new,C1,13,hard,British Grand Prix,2020
VER,1,C1n (13),new,C1,13,hard,British Grand Prix,2020
LEC,1,C1n (13),new,C1,13,hard,British Grand Prix,2020
RIC,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
NOR,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
OCO,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
GAS,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
ALB,1,C1n (6),new,C1,6,hard,British Grand Prix,2020
STR,1,C1n (13),new,C1,13,hard,British Grand Prix,2020
VET,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
BOT,1,C1n (13),new,C1,13,hard,British Grand Prix,2020
RUS,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
SAI,1,C1n (13),new,C1,13,hard,British Grand Prix,2020
GIO,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
LAT,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
GRO,1,C1n (36),new,C1,36,hard,British Grand Prix,2020
RAI,1,C1n (12),new,C1,12,hard,British Grand Prix,2020
VER,2,C3u (50),used,C3,50,soft,British Grand Prix,2020
ALB,2,C2u (30),used,C2,30,medium,British Grand Prix,2020
BOT,2,C3u (50),used,C3,50,soft,British Grand Prix,2020
SAI,2,C2n (51),new,C2,51,medium,British Grand Prix,2020
RAI,2,C3n (47),new,C3,47,soft,British Grand Prix,2020
VER,0,C2u,used,C2,0,hard,70th Anniversary Grand Prix,2020
HAM,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
BOT,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
LEC,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
ALB,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
STR,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
HUL,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
OCO,0,C3n,new,C3,0,medium,70th Anniversary Grand Prix,2020
NOR,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
KVY,0,C2n,new,C2,0,hard,70th Anniversary Grand Prix,2020
GAS,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
VET,0,C2u,used,C2,0,hard,70th Anniversary Grand Prix,2020
SAI,0,C2n,new,C2,0,hard,70th Anniversary Grand Prix,2020
RIC,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
RAI,0,C2u,used,C2,0,hard,70th Anniversary Grand Prix,2020
GRO,0,C3u,used,C3,0,medium,70th Anniversary Grand Prix,2020
GIO,0,C3n,new,C3,0,medium,70th Anniversary Grand Prix,2020
RUS,0,C3n,new,C3,0,medium,70th Anniversary Grand Prix,2020
LAT,0,C3n,new,C3,0,medium,70th Anniversary Grand Prix,2020
MAG,0,C3n,new,C3,0,medium,70th Anniversary Grand Prix,2020
VER,1,C3n (26),new,C3,26,medium,70th Anniversary Grand Prix,2020
HAM,1,C2n (14),new,C2,14,hard,70th Anniversary Grand Prix,2020
BOT,1,C2n (13),new,C2,13,hard,70th Anniversary Grand Prix,2020
LEC,1,C2n (18),new,C2,18,hard,70th Anniversary Grand Prix,2020
ALB,1,C2n (6),new,C2,6,hard,70th Anniversary Grand Prix,2020
STR,1,C2n (18),new,C2,18,hard,70th Anniversary Grand Prix,2020
HUL,1,C2n (15),new,C2,15,hard,70th Anniversary Grand Prix,2020
OCO,1,C2n (22),new,C2,22,hard,70th Anniversary Grand Prix,2020
NOR,1,C2n (12),new,C2,12,hard,70th Anniversary Grand Prix,2020
KVY,1,C2n (19),new,C2,19,hard,70th Anniversary Grand Prix,2020
GAS,1,C2n (7),new,C2,7,hard,70th Anniversary Grand Prix,2020
VET,1,C2n (22),new,C2,22,hard,70th Anniversary Grand Prix,2020
SAI,1,C3u (22),used,C3,22,medium,70th Anniversary Grand Prix,2020
RIC,1,C3u (14),used,C3,14,medium,70th Anniversary Grand Prix,2020
RAI,1,C3n (26),new,C3,26,medium,70th Anniversary Grand Prix,2020
GRO,1,C2u (17),used,C2,17,hard,70th Anniversary Grand Prix,2020
GIO,1,C2n (7),new,C2,7,hard,70th Anniversary Grand Prix,2020
RUS,1,C2n (8),new,C2,8,hard,70th Anniversary Grand Prix,2020
LAT,1,C2n (9),new,C2,9,hard,70th Anniversary Grand Prix,2020
MAG,1,C2u (9),used,C2,9,hard,70th Anniversary Grand Prix,2020
VER,2,C2n (32),new,C2,32,hard,70th Anniversary Grand Prix,2020
HAM,2,C2n (41),new,C2,41,hard,70th Anniversary Grand Prix,2020
BOT,2,C2n (32),new,C2,32,hard,70th Anniversary Grand Prix,2020
ALB,2,C2n (30),new,C2,30,hard,70th Anniversary Grand Prix,2020
STR,2,C2n (31),new,C2,31,hard,70th Anniversary Grand Prix,2020
HUL,2,C2n (30),new,C2,30,hard,70th Anniversary Grand Prix,2020
NOR,2,C2n (29),new,C2,29,hard,70th Anniversary Grand Prix,2020
KVY,2,C3n (35),new,C3,35,medium,70th Anniversary Grand Prix,2020
GAS,2,C2n (23),new,C2,23,hard,70th Anniversary Grand Prix,2020
VET,2,C3u (33),used,C3,33,medium,70th Anniversary Grand Prix,2020
SAI,2,C2n (34),new,C2,34,hard,70th Anniversary Grand Prix,2020
RIC,2,C2n (26),new,C2,26,hard,70th Anniversary Grand Prix,2020
GRO,2,C2n (38),new,C2,38,hard,70th Anniversary Grand Prix,2020
GIO,2,C3u (33),used,C3,33,medium,70th Anniversary Grand Prix,2020
RUS,2,C2n (24),new,C2,24,hard,70th Anniversary Grand Prix,2020
LAT,2,C2n (26),new,C2,26,hard,70th Anniversary Grand Prix,2020
MAG,2,C2n (20),new,C2,20,hard,70th Anniversary Grand Prix,2020
HUL,3,C4u (44),used,C4,44,soft,70th Anniversary Grand Prix,2020
RIC,3,C3u (35),used,C3,35,medium,70th Anniversary Grand Prix,2020
RUS,3,C3u (39),used,C3,39,medium,70th Anniversary Grand Prix,2020
LAT,3,C3n (46),new,C3,46,medium,70th Anniversary Grand Prix,2020
HAM,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
VER,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
BOT,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
STR,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
PER,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
SAI,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
VET,0,C2n,new,C2,0,medium,Spanish Grand Prix,2020
ALB,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
GAS,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
NOR,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
RIC,0,C2n,new,C2,0,medium,Spanish Grand Prix,2020
KVY,0,C3n,new,C3,0,soft,Spanish Grand Prix,2020
OCO,0,C2n,new,C2,0,medium,Spanish Grand Prix,2020
RAI,0,C2n,new,C2,0,medium,Spanish Grand Prix,2020
MAG,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
GIO,0,C2n,new,C2,0,medium,Spanish Grand Prix,2020
RUS,0,C3n,new,C3,0,soft,Spanish Grand Prix,2020
LAT,0,C2n,new,C2,0,medium,Spanish Grand Prix,2020
GRO,0,C2u,used,C2,0,medium,Spanish Grand Prix,2020
LEC,0,C3u,used,C3,0,soft,Spanish Grand Prix,2020
HAM,1,C2n (23),new,C2,23,medium,Spanish Grand Prix,2020
VER,1,C2n (21),new,C2,21,medium,Spanish Grand Prix,2020
BOT,1,C2n (23),new,C2,23,medium,Spanish Grand Prix,2020
STR,1,C2n (27),new,C2,27,medium,Spanish Grand Prix,2020
PER,1,C2n (29),new,C2,29,medium,Spanish Grand Prix,2020
SAI,1,C3u (22),used,C3,22,soft,Spanish Grand Prix,2020
VET,1,C3u (29),used,C3,29,soft,Spanish Grand Prix,2020
ALB,1,C1n (17),new,C1,17,hard,Spanish Grand Prix,2020
GAS,1,C2n (21),new,C2,21,medium,Spanish Grand Prix,2020
NOR,1,C3u (21),used,C3,21,soft,Spanish Grand Prix,2020
RIC,1,C3n (35),new,C3,35,soft,Spanish Grand Prix,2020
KVY,1,C2n (21),new,C2,21,medium,Spanish Grand Prix,2020
OCO,1,C3n (34),new,C3,34,soft,Spanish Grand Prix,2020
RAI,1,C2u (20),used,C2,20,medium,Spanish Grand Prix,2020
MAG,1,C2u (28),used,C2,28,medium,Spanish Grand Prix,2020
GIO,1,C2n (21),new,C2,21,medium,Spanish Grand Prix,2020
RUS,1,C2n (19),new,C2,19,medium,Spanish Grand Prix,2020
LAT,1,C2n (28),new,C2,28,medium,Spanish Grand Prix,2020
GRO,1,C3u (32),used,C3,32,soft,Spanish Grand Prix,2020
LEC,1,C2n (29),new,C2,29,medium,Spanish Grand Prix,2020
HAM,2,C2n (50),new,C2,50,medium,Spanish Grand Prix,2020
VER,2,C2n (41),new,C2,41,medium,Spanish Grand Prix,2020
BOT,2,C3u (48),used,C3,48,soft,Spanish Grand Prix,2020
STR,2,C3u (42),used,C3,42,soft,Spanish Grand Prix,2020
SAI,2,C2n (41),new,C2,41,medium,Spanish Grand Prix,2020
ALB,2,C2n (39),new,C2,39,medium,Spanish Grand Prix,2020
GAS,2,C2n (42),new,C2,42,medium,Spanish Grand Prix,2020
NOR,2,C2n (44),new,C2,44,medium,Spanish Grand Prix,2020
KVY,2,C2n (45),new,C2,45,medium,Spanish Grand Prix,2020
RAI,2,C3n (44),new,C3,44,soft,Spanish Grand Prix,2020
GIO,2,C3n (45),new,C3,45,soft,Spanish Grand Prix,2020
RUS,2,C2n (35),new,C2,35,medium,Spanish Grand Prix,2020
LAT,2,C3n (49),new,C3,49,soft,Spanish Grand Prix,2020
GRO,2,C3n (62),new,C3,62,soft,Spanish Grand Prix,2020
BOT,3,C2n (64),new,C2,64,medium,Spanish Grand Prix,2020
HAM,0,C3u,used,C3,0,medium,Belgian Grand Prix,2020
BOT,0,C3u,used,C3,0,medium,Belgian Grand Prix,2020
VER,0,C3u,used,C3,0,medium,Belgian Grand Prix,2020
RIC,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
OCO,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
ALB,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
NOR,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
GAS,0,C2n,new,C2,0,hard,Belgian Grand Prix,2020
STR,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
PER,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
KVY,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
RAI,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
VET,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
LEC,0,C4n,new,C4,0,soft,Belgian Grand Prix,2020
GRO,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
LAT,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
MAG,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
GIO,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
RUS,0,C3n,new,C3,0,medium,Belgian Grand Prix,2020
SAI,0,C4u,used,C4,0,soft,Belgian Grand Prix,2020
HAM,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
BOT,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
VER,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
RIC,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
OCO,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
ALB,1,C3n (11),new,C3,11,medium,Belgian Grand Prix,2020
NOR,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
GAS,1,C3n (26),new,C3,26,medium,Belgian Grand Prix,2020
STR,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
PER,1,C2n (18),new,C2,18,hard,Belgian Grand Prix,2020
KVY,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
RAI,1,C2u (10),used,C2,10,hard,Belgian Grand Prix,2020
VET,1,C2n (11),new,C2,11,hard,Belgian Grand Prix,2020
LEC,1,C2n (10),new,C2,10,hard,Belgian Grand Prix,2020
GRO,1,C2n (10),new,C2,10,hard,Belgian Grand Prix,2020
LAT,1,C2n (10),new,C2,10,hard,Belgian Grand Prix,2020
MAG,1,C2n (10),new,C2,10,hard,Belgian Grand Prix,2020
LEC,2,C3n (24),new,C3,24,medium,Belgian Grand Prix,2020
LAT,2,C3n (30),new,C3,30,medium,Belgian Grand Prix,2020
MAG,2,C4n (35),new,C4,35,soft,Belgian Grand Prix,2020
