driver,stop,value,condition,compound,lap,race_assignment,race,year
BOT,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
LEC,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
NOR,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
HAM,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
SAI,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
PER,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
GAS,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
OCO,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
GIO,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
VET,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
LAT,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
KVY,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
ALB,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
RAI,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
RUS,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
GRO,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
MAG,0,C3n,new,C3,0,medium,Austrian Grand Prix,2020
STR,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
RIC,0,C4u,used,C4,0,soft,Austrian Grand Prix,2020
VER,0,C3u,used,C3,0,medium,Austrian Grand Prix,2020
BOT,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
LEC,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
NOR,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
HAM,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
SAI,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
PER,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
GAS,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
OCO,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
GIO,1,C2n (25),new,C2,25,hard,Austrian Grand Prix,2020
VET,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
LAT,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
KVY,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
ALB,1,C2n (26),new,C2,26,hard,Austrian Grand Prix,2020
RAI,1,C2n (24),new,C2,24,hard,Austrian Grand Prix,2020
RUS,1,C2n (25),new,C2,25,hard,Austrian Grand Prix,2020
GRO,1,C2n (20),new,C2,20,hard,Austrian Grand Prix,2020
LEC,2,C3n (51),new,C3,51,medium,Austrian Grand Prix,2020
NOR,2,C3n (51),new,C3,51,medium,Austrian Grand Prix,2020
SAI,2,C3n (52),new,C3,52,medium,Austrian Grand Prix,2020
GIO,2,C4n (55),new,C4,55,soft,Austrian Grand Prix,2020
VET,2,C4n (51),new,C4,51,soft,Austrian Grand Prix,2020
LAT,2,C4n (51),new,C4,51,soft,Austrian Grand Prix,2020
KVY,2,C4n (51),new,C4,51,soft,Austrian Grand Prix,2020
ALB,2,C4u (51),used,C4,51,soft,Austrian Grand Prix,2020
RAI,2,C4u (51),used,C4,51,soft,Austrian Grand Prix,2020
HAM,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
BOT,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
VER,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
ALB,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
NOR,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
PER,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
STR,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
RIC,0,C3n,new,C3,0,medium,Styrian Grand Prix,2020
SAI,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
KVY,0,C3n,new,C3,0,medium,Styrian Grand Prix,2020
RAI,0,C3n,new,C3,0,medium,Styrian Grand Prix,2020
MAG,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
GRO,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
GIO,0,C3n,new,C3,0,medium,Styrian Grand Prix,2020
GAS,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
RUS,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
LAT,0,C3n,new,C3,0,medium,Styrian Grand Prix,2020
OCO,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
LEC,0,C4n,new,C4,0,soft,Styrian Grand Prix,2020
VET,0,C3n,new,C3,0,medium,Styrian Grand Prix,2020
HAM,1,C3n (27),new,C3,27,medium,Styrian Grand Prix,2020
BOT,1,C3n (34),new,C3,34,medium,Styrian Grand Prix,2020
VER,1,C3n (24),new,C3,24,medium,Styrian Grand Prix,2020
ALB,1,C3n (35),new,C3,35,medium,Styrian Grand Prix,2020
NOR,1,C3n (39),new,C3,39,medium,Styrian Grand Prix,2020
PER,1,C3n (38),new,C3,38,medium,Styrian Grand Prix,2020
STR,1,C3n (33),new,C3,33,medium,Styrian Grand Prix,2020
RIC,1,C4n (37),new,C4,37,soft,Styrian Grand Prix,2020
SAI,1,C3n (32),new,C3,32,medium,Styrian Grand Prix,2020
KVY,1,C2n (36),new,C2,36,hard,Styrian Grand Prix,2020
RAI,1,C4n (44),new,C4,44,soft,Styrian Grand Prix,2020
