driver,stop,value,condition,compound,lap,race_assignment,race,year
ALB,0,C3u,used,C3,0,soft,Brazilian Grand Prix,2019
HUL,0,C2n,new,C2,0,medium,Brazilian Grand Prix,2019
KUB,0,C2n,new,C2,0,medium,Brazilian Grand Prix,2019
VET,0,C3u,used,C3,0,soft,Brazilian Grand Prix,2019
LEC,0,C2u,used,C2,0,medium,Brazilian Grand Prix,2019
STR,0,C3n,new,C3,0,soft,Brazilian Grand Prix,2019
BOT,0,C3u,used,C3,0,soft,Brazilian Grand Prix,2019
VER,1,C3n (21),new,C3,21,soft,Brazilian Grand Prix,2019
GAS,1,C2n (22),new,C2,22,medium,Brazilian Grand Prix,2019
SAI,1,C2n (29),new,C2,29,medium,Brazilian Grand Prix,2019
RAI,1,C2n (21),new,C2,21,medium,Brazilian Grand Prix,2019
GIO,1,C2n (20),new,C2,20,medium,Brazilian Grand Prix,2019
RIC,1,C3n (8),new,C3,8,soft,Brazilian Grand Prix,2019
HAM,1,C3u (20),used,C3,20,soft,Brazilian Grand Prix,2019
NOR,1,C1n (27),new,C1,27,hard,Brazilian Grand Prix,2019
PER,1,C2n (17),new,C2,17,medium,Brazilian Grand Prix,2019
KVY,1,C3n (23),new,C3,23,soft,Brazilian Grand Prix,2019
MAG,1,C2n (27),new,C2,27,medium,Brazilian Grand Prix,2019
RUS,1,C2n (23),new,C2,23,medium,Brazilian Grand Prix,2019
GRO,1,C2n (26),new,C2,26,medium,Brazilian Grand Prix,2019
ALB,1,C2n (24),new,C2,24,medium,Brazilian Grand Prix,2019
HUL,1,C1n (27),new,C1,27,hard,Brazilian Grand Prix,2019
KUB,1,C2n (20),new,C2,20,medium,Brazilian Grand Prix,2019
VET,1,C2n (25),new,C2,25,medium,Brazilian Grand Prix,2019
LEC,1,C1n (29),new,C1,29,hard,Brazilian Grand Prix,2019
STR,1,C2n (28),new,C2,28,medium,Brazilian Grand Prix,2019
BOT,1,C1n (26),new,C1,26,hard,Brazilian Grand Prix,2019
VER,2,C2n (44),new,C2,44,medium,Brazilian Grand Prix,2019
GAS,2,C3u (47),used,C3,47,soft,Brazilian Grand Prix,2019
RAI,2,C3u (47),used,C3,47,soft,Brazilian Grand Prix,2019
GIO,2,C3u (46),used,C3,46,soft,Brazilian Grand Prix,2019
RIC,2,C3u (40),used,C3,40,soft,Brazilian Grand Prix,2019
HAM,2,C2n (43),new,C2,43,medium,Brazilian Grand Prix,2019
NOR,2,C2n (53),new,C2,53,medium,Brazilian Grand Prix,2019
PER,2,C3u (45),used,C3,45,soft,Brazilian Grand Prix,2019
KVY,2,C3n (46),new,C3,46,soft,Brazilian Grand Prix,2019
MAG,2,C3u (53),used,C3,53,soft,Brazilian Grand Prix,2019
RUS,2,C3n (54),new,C3,54,soft,Brazilian Grand Prix,2019
GRO,2,C3u (65),used,C3,65,soft,Brazilian Grand Prix,2019
ALB,2,C3u (50),used,C3,50,soft,Brazilian Grand Prix,2019
HUL,2,C3n (44),new,C3,44,soft,Brazilian Grand Prix,2019
KUB,2,C1n (36),new,C1,36,hard,Brazilian Grand Prix,2019
VET,2,C3u (49),used,C3,49,soft,Brazilian Grand Prix,2019
LEC,2,C3n (54),new,C3,54,soft,Brazilian Grand Prix,2019
STR,2,C3n (53),new,C3,53,soft,Brazilian Grand Prix,2019
BOT,2,C2n (41),new,C2,41,medium,Brazilian Grand Prix,2019
VER,3,C3u (54),used,C3,54,soft,Brazilian Grand Prix,2019
HAM,3,C3u (66),used,C3,66,soft,Brazilian Grand Prix,2019
RUS,3,C3u (66),used,C3,66,soft,Brazilian Grand Prix,2019
HUL,3,C3u (53),used,C3,53,soft,Brazilian Grand Prix,2019
KUB,3,C3n (53),new,C3,53,soft,Brazilian Grand Prix,2019
KUB,4,C3u (66),used,C3,66,soft,Brazilian Grand Prix,2019
HAM,0,C4u,used,C4,0,medium,Abu Dhabi Grand Prix,2019
VER,0,C4u,used,C4,0,medium,Abu Dhabi Grand Prix,2019
LEC,0,C4u,used,C4,0,medium,Abu Dhabi Grand Prix,2019
BOT,0,C4u,used,C4,0,medium,Abu Dhabi Grand Prix,2019
VET,0,C5u,used,C5,0,soft,Abu Dhabi Grand Prix,2019
ALB,0,C4u,used,C4,0,medium,Abu Dhabi Grand Prix,2019
PER,0,C4n,new,C4,0,medium,Abu Dhabi Grand Prix,2019
NOR,0,C5u,used,C5,0,soft,Abu Dhabi Grand Prix,2019
KVY,0,C3n,new,C3,0,hard,Abu Dhabi Grand Prix,2019
SAI,0,C5u,used,C5,0,soft,Abu Dhabi Grand Prix,2019
RIC,0,C5u,used,C5,0,soft,Abu Dhabi Grand Prix,2019
HUL,0,C5u,used,C5,0,soft,Abu Dhabi Grand Prix,2019
RAI,0,C4n,new,C4,0,medium,Abu Dhabi Grand Prix,2019
MAG,0,C4n,new,C4,0,medium,Abu Dhabi Grand Prix,2019
GRO,0,C4n,new,C4,0,medium,Abu Dhabi Grand Prix,2019
GIO,0,C5n,new,C5,0,soft,Abu Dhabi Grand Prix,2019
RUS,0,C3n,new,C3,0,hard,Abu Dhabi Grand Prix,2019
GAS,0,C4n,new,C4,0,medium,Abu Dhabi Grand Prix,2019
KUB,0,C3n,new,C3,0,hard,Abu Dhabi Grand Prix,2019
STR,0,C4n,new,C4,0,medium,Abu Dhabi Grand Prix,2019
HAM,1,C3n (26),new,C3,26,hard,Abu Dhabi Grand Prix,2019
VER,1,C3n (25),new,C3,25,hard,Abu Dhabi Grand Prix,2019
LEC,1,C3n (12),new,C3,12,hard,Abu Dhabi Grand Prix,2019
BOT,1,C3n (29),new,C3,29,hard,Abu Dhabi Grand Prix,2019
VET,1,C3n (12),new,C3,12,hard,Abu Dhabi Grand Prix,2019
ALB,1,C3n (13),new,C3,13,hard,Abu Dhabi Grand Prix,2019
PER,1,C3n (37),new,C3,37,hard,Abu Dhabi Grand Prix,2019
NOR,1,C3n (8),new,C3,8,hard,Abu Dhabi Grand Prix,2019
KVY,1,C4n (40),new,C4,40,medium,Abu Dhabi Grand Prix,2019
SAI,1,C3n (12),new,C3,12,hard,Abu Dhabi Grand Prix,2019
RIC,1,C3n (11),new,C3,11,hard,Abu Dhabi Grand Prix,2019
HUL,1,C4n (18),new,C4,18,medium,Abu Dhabi Grand Prix,2019
RAI,1,C3n (22),new,C3,22,hard,Abu Dhabi Grand Prix,2019
MAG,1,C3u (20),used,C3,20,hard,Abu Dhabi Grand Prix,2019
GRO,1,C3u (18),used,C3,18,hard,Abu Dhabi Grand Prix,2019
GIO,1,C3n (8),new,C3,8,hard,Abu Dhabi Grand Prix,2019
RUS,1,C4n (32),new,C4,32,medium,Abu Dhabi Grand Prix,2019
GAS,1,C3n (1),new,C3,1,hard,Abu Dhabi Grand Prix,2019
KUB,1,C4n (24),new,C4,24,medium,Abu Dhabi Grand Prix,2019
STR,1,C3n (5),new,C3,5,hard,Abu Dhabi Grand Prix,2019
LEC,2,C5n (38),new,C5,38,soft,Abu Dhabi Grand Prix,2019
VET,2,C4n (38),new,C4,38,medium,Abu Dhabi Grand Prix,2019
SAI,2,C4n (41),new,C4,41,medium,Abu Dhabi Grand Prix,2019
RIC,2,C5u (42),used,C5,42,soft,Abu Dhabi Grand Prix,2019
GIO,2,C4n (26),new,C4,26,medium,Abu Dhabi Grand Prix,2019
STR,2,C5n (23),new,C5,23,soft,Abu Dhabi Grand Prix,2019
